"treat" "flume" "time" "total.fluo" "FIX" "FIX2" "HIX" "HIX2" "beta.alpha" "DecAbsCoeff254" "DecAbsCoeff365" "DecAbsCoeff420" "DecAbsCoeff430" "DecAbsCoeff436" "DecAbsCoeff440" "slope_classic" "slope_lm" "slope_short_Helms" "slope_short_Loiselle" "SR_Helms" "SR_Loiselle" "E2.to.E3" "E4.to.E6" "SUVA254" "SA440" "a255/a365"
"17" "C" "B" "4" 563.4835024 1.091603373 1.450310896 7.701686496 0.885079749 0.539853837 12.16954762 2.62073135 1.153247891 0.999038329 0.928157584 0.880144462 -0.012482408 -0.01363375 -0.013371965 -0.013329912 0.87957777 0.868314941 4.82356708 3.127992268 3.75603321604938 0.271649525308642 4.64356929221303
"18" "C" "C" "4" 589.6156307 1.085476767 1.427480096 6.437433461 0.865545016 0.538600257 12.31097624 2.692715393 1.236784997 1.094936941 1.024607307 0.977937272 -0.011049751 -0.01332332 -0.013450358 -0.013428994 0.916052144 0.907857238 4.752162772 2.359710887 3.58920590087464 0.28511290728863 4.57195597871342
"19" "C" "D" "4" 568.3642804 1.084435088 1.434490253 6.781022835 0.871482192 0.539210344 12.78898741 2.985105294 1.442963297 1.277223249 1.199540858 1.148709914 -0.009192346 -0.012684225 -0.013008763 -0.012974748 0.941794148 0.931043215 4.445782952 0.847234012 4.1794076503268 0.375395396732026 4.2842667679782
"20" "C" "E" "4" 587.7479554 1.097457148 1.364487579 6.900564107 0.87342676 0.535832469 12.07539577 2.545774777 1.110433674 0.974152647 0.898081942 0.845454873 -0.012572027 -0.013795764 -0.013542789 -0.013507941 0.859291756 0.851142943 4.933625352 3.262808331 4.13540951027397 0.289539340068493 4.74330874792857
"21" "C" "A" "6" 563.715871 1.05858716 1.408320262 5.56742441 0.847733306 0.564280661 12.26262791 2.569719747 1.14909395 1.010392117 0.936450044 0.886050765 -0.009630065 -0.013640889 -0.013830591 -0.013793975 0.92427324 0.920794868 4.961356933 0.797527394 3.24408145767196 0.234404964285714 4.77197092185477
"22" "C" "B" "6" 630.4424682 1.100243721 1.431047025 6.097087838 0.859097136 0.543900386 13.40265465 3.441489652 1.845719659 1.672230581 1.590085251 1.535767805 -0.009012497 -0.011708701 -0.012538751 -0.012524249 1.026269878 1.014609278 4.03862646 1.306387961 4.11124375766871 0.471094418711657 3.89443409838851
"23" "C" "C" "6" 563.0430568 1.089104827 1.430269283 5.802996923 0.85300596 0.556922178 12.42007192 2.634739986 1.220453104 1.0584047 0.980009637 0.922026281 -0.008003292 -0.01326296 -0.01368814 -0.013655979 0.927387609 0.923545986 4.903345361 0.46124259 3.41210767032967 0.253303923351648 4.71396493999237
"24" "C" "D" "6" 588.8776699 1.087167152 1.435634144 5.83640268 0.85372424 0.52331465 12.44860775 2.649115432 1.167315135 1.022885924 0.95176867 0.903945076 -0.012211244 -0.013742965 -0.013848239 -0.013824255 0.892626022 0.886024859 4.882062159 2.883062914 3.14358781565657 0.228268958585859 4.69915640505015
"25" "C" "E" "6" 631.1205295 1.082515403 1.416629885 6.883581217 0.873154094 0.545672725 12.71540018 2.890631489 1.379364812 1.218411161 1.147616141 1.102696127 -0.010123692 -0.013004575 -0.013373769 -0.013345105 0.938050976 0.928847986 4.568531278 1.762202641 3.71795326900585 0.322425768128655 4.3988312686647
"26" "C" "A" "8" 554.8050514 1.078577942 1.410580848 7.130037599 0.876999339 0.53037225 12.54688139 2.7521697 1.232937981 1.073339975 1.003614746 0.959931884 -0.007202259 -0.012921923 -0.013544484 -0.013526678 0.897297485 0.891437472 4.737846304 0.342128046 3.75655131437126 0.287404755688623 4.55890543014117
"27" "C" "B" "8" 542.4136371 1.08486403 1.416970249 6.411234873 0.86506972 0.546097738 12.82254064 2.970110105 1.470242158 1.304534627 1.226071911 1.165053365 -0.010256453 -0.012769391 -0.013190262 -0.013156776 0.978879389 0.973092214 4.480643738 1.718529239 4.00704395 0.3640791765625 4.31719370215065
"28" "C" "C" "8" 564.604053 1.106626822 1.427307059 6.954437792 0.874284013 0.531389067 12.57247921 2.799872918 1.279747428 1.12561408 1.050826666 1.003747721 -0.008534534 -0.013064796 -0.01342679 -0.013395549 0.908702733 0.901372366 4.663464043 0.456106089 3.64419687246377 0.290941368405797 4.49037494851043
"29" "C" "D" "8" 614.3230045 1.099614265 1.37224832 6.703179988 0.870183482 0.553536213 13.39586318 3.39061829 1.755296446 1.571964362 1.497467045 1.453024756 -0.00807982 -0.011756511 -0.012563101 -0.012544466 0.9889465 0.976509767 4.098306039 0.946789871 3.89414627325581 0.42239091744186 3.95086147547443
"30" "C" "E" "8" 557.252663 1.08002455 1.417946796 4.860692589 0.829371702 0.539236698 13.10608175 3.0938354 1.523706955 1.361847169 1.281515928 1.226819449 -0.009395159 -0.01260558 -0.013197574 -0.013174972 0.981206941 0.971310611 4.396713468 0.965553292 4.07021172360248 0.380999828881988 4.23619231650139
"31" "T" "A" "1" 596.0680465 1.084776117 1.429646501 6.980987614 0.874702224 0.53302406 11.90642342 2.499033637 1.088527221 0.947104785 0.87790893 0.830910296 -0.01022709 -0.01367142 -0.013507345 -0.013463948 0.863234045 0.85417641 4.955161162 1.086728474 3.45113722318841 0.240843564057971 4.76441102821378
"32" "T" "B" "1" 642.6789622 1.075706813 1.439908824 3.247240549 0.764553011 0.528446912 14.063135 4.000388624 2.382767437 2.235982991 2.132508245 2.05611426 -0.007809218 -0.010360919 -0.011775451 -0.011764739 1.153908262 1.136883778 3.645663198 1.787093124 3.60593205128205 0.527208784615385 3.51544220369726
"33" "T" "C" "1" 604.7522817 1.129807972 1.399212212 4.36926688 0.813754834 0.54231184 11.99754509 2.482143373 1.064588725 0.929934048 0.862377115 0.817571475 -0.012421346 -0.013948097 -0.013787574 -0.013755888 0.860572356 0.856706409 5.030021339 3.136626556 3.48765845639535 0.237666126453488 4.83354234106927
"34" "T" "D" "1" 600.2126971 1.092722502 1.464300666 7.042956738 0.875667614 0.55461114 12.24231636 2.724336029 1.243783972 1.08845208 1.014325684 0.958645684 -0.01049557 -0.01315916 -0.013163306 -0.013123164 0.898319594 0.89065985 4.669977355 2.317947616 2.47319522424242 0.193665794747475 4.49368808754979
"35" "T" "E" "1" 642.6905726 1.091361897 1.431232333 6.7493687 0.87095723 0.544755394 12.38244947 2.828545023 1.340494303 1.194697082 1.118079849 1.066279089 -0.010237365 -0.012956251 -0.012998931 -0.01295973 0.912488143 0.900924191 4.54848192 1.273363079 3.80998445230769 0.328085873538462 4.37767451792829
"36" "T" "A" "2" 602.5577725 1.124972694 1.422841764 7.300003361 0.879518121 0.528400501 12.02467286 2.535801045 1.117389196 0.966449387 0.887353209 0.831740565 -0.011852811 -0.013741078 -0.013492029 -0.013457932 0.859206664 0.850391004 4.92918959 2.48382096 3.81735646349206 0.264044623809524 4.74196226226415
"37" "T" "B" "2" 630.3442237 1.115818885 1.444881298 6.452570188 0.865818104 0.552728363 12.47372122 2.542746577 1.323933203 1.149221939 1.079770417 1.031282285 -0.00746473 -0.013001538 -0.013247264 -0.013240015 0.90614463 0.881690184 5.092627143 0.818893359 3.84991395679012 0.31829700154321 4.90560928597014
"38" "T" "C" "2" 607.8962963 1.09938223 1.44662697 7.599012748 0.88370758 0.557193202 11.90921779 2.52484444 1.078301527 0.929362039 0.86047695 0.815076322 -0.008762117 -0.013523234 -0.013553816 -0.013496849 0.849296352 0.843817975 4.901714671 0.424168051 3.94344959933775 0.269892821854305 4.71681249003998
"39" "T" "D" "2" 584.275491 1.100374072 1.433909635 6.19013241 0.860920503 0.544194481 13.12185217 3.316338534 1.775161797 1.612890339 1.522954709 1.460405954 -0.008942438 -0.01180216 -0.012412952 -0.012373286 1.008870747 0.993300602 4.100713279 1.275615138 4.31639874013158 0.480396695394737 3.95672879456401
"40" "T" "E" "2" 609.37442 1.0552957 1.446310589 4.610300644 0.821756433 0.544784235 12.78228609 3.027505127 1.503694016 1.341293477 1.258325874 1.198789606 -0.010077072 -0.012574787 -0.012896287 -0.012864639 0.957846327 0.946603214 4.384861574 2.000507274 2.79699914442013 0.262317200437637 4.22205266508208
"41" "T" "A" "3" 568.9977227 1.087215587 1.444861532 7.473760284 0.881988637 0.54194547 12.4323348 2.82184072 1.367951961 1.237871126 1.167754319 1.124038437 -0.008254404 -0.012679266 -0.013111484 -0.01309344 0.964792699 0.954459474 4.580770635 0.479717811 3.14742653164557 0.284566692911392 4.40575356074669
"42" "T" "B" "3" 639.5249482 1.080408898 1.436618885 7.723405746 0.885365873 0.52931622 12.40621289 2.788629699 1.296073117 1.134994389 1.062901535 1.014120469 -0.009950161 -0.013114112 -0.01314377 -0.01311896 0.902478203 0.894875471 4.625607041 0.844202101 3.61697168804665 0.295661944314869 4.44885633056582
"43" "T" "C" "3" 586.6671055 1.110984182 1.401158111 7.085352632 0.876319556 0.528524268 12.47831441 2.84181926 1.351979409 1.193395998 1.12113484 1.07436385 -0.010539915 -0.012989513 -0.013050775 -0.013018223 0.919907077 0.909842327 4.563425386 1.632856197 3.55507533048433 0.306086566951567 4.39095989869532
"44" "T" "D" "3" 586.1966823 1.094582047 1.429637977 8.305664821 0.892538575 0.564301507 11.95200906 2.502341765 1.082339136 0.96329378 0.883058342 0.819958959 -0.012117351 -0.013800778 -0.013500184 -0.013460095 0.847060209 0.838058075 4.962351751 2.663880259 4.02424547474747 0.276080457575758 4.77632960739877
"45" "T" "E" "3" 581.1243329 1.089013993 1.389713585 5.47646842 0.845594862 0.537290067 12.4221945 2.727512941 1.237356234 1.076058756 1.00459629 0.957101593 -0.007696319 -0.012992146 -0.013250129 -0.013224961 0.88339612 0.876438306 4.738970136 0.443286038 4.11330943708609 0.316921057284768 4.55440350557809
"46" "T" "A" "4" 593.5683023 1.066848942 1.441185387 5.151334325 0.837433645 0.535915581 12.22916945 2.526747604 1.074430667 0.928422215 0.867687728 0.82890895 -0.012703582 -0.013971724 -0.013767645 -0.013737525 0.866388342 0.857862394 5.036282486 3.270321208 3.94489337096774 0.267389983870968 4.83988564217513
"47" "T" "B" "4" 592.6225463 1.114204596 1.397282917 6.782574954 0.871507823 0.551058346 12.27518911 2.637228224 1.203472351 1.067135141 0.990892126 0.941778441 -0.011678189 -0.013556816 -0.013646212 -0.01360892 0.885441351 0.875250396 4.8387387 2.749042016 3.7538804617737 0.288005639449541 4.65457975850936
"48" "T" "C" "4" 574.4647261 1.112101633 1.426527148 6.197047921 0.861054142 0.530524543 13.07944308 3.173750187 1.597113175 1.428265397 1.340490465 1.279393968 -0.009110336 -0.012294605 -0.012770424 -0.012743418 0.968893748 0.957003019 4.275878923 1.036053325 3.38845675647668 0.331449214507772 4.12113188163792
"49" "T" "D" "4" 580.7322453 1.064307347 1.429390148 7.401993161 0.880980622 0.54255102 12.57042054 2.833234653 1.315721866 1.160761356 1.081387807 1.028743823 -0.009190083 -0.013003757 -0.013186036 -0.013146032 0.90477389 0.895601556 4.603640324 1.220893503 3.91601885981308 0.320480941744548 4.43677353963241
"50" "T" "E" "4" 600.2515375 1.09974169 1.431009303 3.783214355 0.790935566 0.563049868 12.66749641 2.804212962 1.292179623 1.154971101 1.073159964 1.017374669 -0.00704152 -0.012736916 -0.013340016 -0.01329349 0.911345985 0.900797491 4.705055346 0.35418732 4.11282350974026 0.330316450974026 4.51730898532235
"51" "T" "A" "6" 634.16652 1.092989267 1.400757944 7.562925934 0.883217488 0.538165287 12.37432221 2.660914051 1.175295954 1.024932591 0.953725497 0.907004987 -0.008807398 -0.013399538 -0.013588106 -0.013553899 0.883308821 0.876444387 4.831764757 0.383625059 1.75273685694051 0.128470961331445 4.65040282129729
"52" "T" "B" "6" 577.5107698 1.107387539 1.392224518 7.590652083 0.883594401 0.545328635 13.05497609 3.154591326 1.553945799 1.395664457 1.322519688 1.270263144 -0.007017415 -0.011928849 -0.012910942 -0.012882237 0.972147142 0.963403826 4.290402198 0.66623909 2.98058814840183 0.290014416438356 4.13840486480815
"53" "T" "C" "6" 589.2958894 1.092921911 1.409119845 6.700996289 0.870146672 0.555263591 12.35694898 2.666398414 1.185437089 1.044096242 0.969674315 0.919343014 -0.010093873 -0.013459209 -0.013688128 -0.013640954 0.900872526 0.892114008 4.809099984 1.499341264 3.66675043916914 0.272802081305638 4.63432205596864
"54" "T" "D" "6" 565.6008949 1.088365389 1.404574825 7.407792845 0.881062721 0.55053878 12.14865685 2.543984196 1.132302467 0.987661123 0.913306163 0.863201404 -0.008245903 -0.013425392 -0.01380755 -0.013771769 0.916181562 0.913338987 4.965347135 0.676594474 2.92035020432692 0.2075003375 4.77544509478549
"55" "T" "E" "6" 628.0822063 1.072578813 1.451346345 6.512770649 0.866893314 0.555738017 13.69214368 3.761208493 2.14694891 1.978600732 1.893865202 1.838114258 -0.008118898 -0.010873067 -0.012044701 -0.012025936 1.08487579 1.071140501 3.771944927 1.350328342 3.61270281794195 0.48499056939314 3.64035753547896
"56" "T" "A" "8" 560.343317 1.066250269 1.421098009 4.715301745 0.82503111 0.541408204 13.18902643 2.749965261 1.220239815 1.050727556 0.977515257 0.928902556 -0.009680835 -0.013785816 -0.014461098 -0.014477341 0.95101903 0.949448823 4.984266847 0.626585318 2.71938689278351 0.191526300206186 4.79607019661184
"57" "T" "B" "8" 549.5017356 1.075123876 1.428230704 6.8841553 0.873163331 0.564746461 12.9480658 3.009612764 1.520219204 1.3689686 1.292708901 1.243770983 -0.008778006 -0.012556397 -0.013774593 -0.013783903 1.054054465 1.048362806 4.461001249 1.078911166 3.4163762005277 0.328171763324538 4.30223647204069
"58" "T" "C" "8" 586.5876816 1.056428134 1.408883722 3.381680736 0.771777074 0.541010133 13.91386991 3.75380426 2.139138827 1.957240308 1.866775909 1.799136767 -0.008313749 -0.011069895 -0.012442339 -0.012418975 1.107556088 1.094647553 3.835136874 1.526024687 4.41710155873016 0.571154529206349 3.70660507215685
"59" "T" "D" "8" 549.7582057 1.088899282 1.383455525 6.329520102 0.86356542 0.554224488 13.39843017 3.495815727 1.917272153 1.736810751 1.655303358 1.602381685 -0.007188931 -0.011184769 -0.012388928 -0.012362919 1.073171722 1.066285095 3.975659179 0.747796956 3.82812290571429 0.457823338571429 3.83270492964402
"60" "T" "E" "8" 575.985877 1.109958912 1.389759869 7.833846927 0.886799035 0.525814011 12.91633552 3.091860333 1.522015241 1.361261995 1.279974013 1.22624647 -0.009123523 -0.012447954 -0.013428192 -0.013423208 0.991944257 0.983702173 4.329881898 1.245617128 3.96206611042945 0.37614922392638 4.17752877843205
